Date,Open,Highest,Lowest,Close,Range,Range%,Trade,Volume
10/05/2017,3350.6502,3369.4345,3336.003,3337.7007,-14.8317,-0.4424,9208262800,1.02E+11
09/05/2017,3342.5981,3358.0463,3327.5901,3352.5324,-6.2801,-0.187,7677166800,85528831749
08/05/2017,3369.1084,3374.1571,3339.5743,3358.8125,-23.7377,-0.7018,12374928700,1.27E+11
05/05/2017,3393.4831,3395.4532,3366.5568,3382.5502,-21.8362,-0.6414,10989533300,1.17E+11
04/05/2017,3404.9379,3421.3953,3391.277,3404.3864,-8.7418,-0.2561,10348207500,1.07E+11
03/05/2017,3421.7586,3432.2248,3403.0782,3413.1282,-13.4484,-0.3925,9166962400,97854119098
02/05/2017,3427.9169,3436.3064,3418.6652,3426.5766,-13.1764,-0.3831,9279746200,1.02E+11
28/04/2017,3439.5735,3439.904,3417.2375,3439.753,-6.9672,-0.2021,10163235100,1.14E+11
27/04/2017,3435.1017,3449.2723,3399.5392,3446.7202,1.537,0.0446,12329842500,1.35E+11
26/04/2017,3440.2526,3466.5651,3439.1505,3445.1832,4.2089,0.1223,11194002900,1.31E+11
25/04/2017,3427.7322,3449.6716,3422.6521,3440.9743,9.7156,0.2831,9407214800,1.08E+11
24/04/2017,3458.2279,3458.2279,3403.9792,3431.2587,-35.5278,-1.0248,11466079100,1.23E+11
21/04/2017,3461.389,3475.5622,3449.5421,3466.7865,5.2384,0.1513,10441911000,1.15E+11
20/04/2017,3444.5225,3465.6088,3440.7151,3461.5481,15.672,0.4548,11418420800,1.34E+11
19/04/2017,3452.9904,3459.3524,3418.514,3445.8761,-16.8668,-0.4871,12134926400,1.27E+11
18/04/2017,3474.8892,3489.0845,3462.6297,3462.7429,-17.1988,-0.4942,11092782300,1.27E+11
17/04/2017,3475.7381,3480.5696,3453.6759,3479.9417,-6.5628,-0.1882,11716496100,1.24E+11
14/04/2017,3516.8103,3517.4664,3476.9468,3486.5045,-28.0617,-0.7984,13547407800,1.30E+11
13/04/2017,3500.2838,3518.4385,3496.5699,3514.5662,5.1275,0.1461,12998181300,1.33E+11
12/04/2017,3514.5723,3523.0975,3497.9991,3509.4387,-7.8893,-0.2243,18182453700,2.02E+11
11/04/2017,3503.8294,3520.1315,3466.139,3517.328,12.1888,0.3477,16594583200,1.89E+11
10/04/2017,3519.4597,3522.7955,3502.0826,3505.1392,-12.3242,-0.3504,14188738000,1.56E+11
07/04/2017,3514.4521,3526.815,3506.3885,3517.4634,3.4165,0.0972,14029320400,1.45E+11
06/04/2017,3507.9879,3517.7779,3495.7246,3514.0469,10.1537,0.2898,13676700400,1.45E+11
05/04/2017,3476.4231,3504.5379,3475.1486,3503.8932,47.8477,1.3845,14339901700,1.61E+11
31/03/2017,3434.8222,3456.3051,3430.8197,3456.0455,19.2875,0.5612,9157749100,1.01E+11
30/03/2017,3461.6159,3467.3049,3422.366,3436.758,-28.4353,-0.8206,11637692200,1.22E+11
29/03/2017,3472.9665,3483.0571,3455.5529,3465.1933,-4.616,-0.133,10485170600,1.15E+11
28/03/2017,3480.249,3482.2923,3461.4678,3469.8093,-8.2292,-0.2366,8419482000,97495938765
27/03/2017,3488.7647,3505.9789,3474.5206,3478.0385,-11.5612,-0.3313,10701537700,1.24E+11
24/03/2017,3464.1966,3499.3179,3461.1108,3489.5997,27.6215,0.7979,12564583300,1.42E+11
23/03/2017,3452.4056,3470.8164,3435.6912,3461.9782,11.928,0.3457,9431806200,1.16E+11
22/03/2017,3450.7544,3464.3328,3433.4994,3450.0502,-16.2966,-0.4701,10493589400,1.24E+11
21/03/2017,3449.7696,3466.7026,3445.6416,3466.3468,16.7342,0.4851,8770785500,1.14E+11
20/03/2017,3449.0515,3454.063,3429.8254,3449.6126,3.8075,0.1105,8873432200,1.04E+11
